date,diff
16912,-0.006332736
16913,0
16914,0.000495377
16915,0.003789614
16916,0.003047604
16917,0.002931961
16918,0.002461179
16919,0.009725782
16920,0
16921,0.000739798
16922,0.007054801
16923,-0.002737376
16924,-0.001146749
16925,-0.008564666
16926,0.000196367
16927,0
16928,-0.000495338
16929,-0.001734834
16930,-0.000802695
16931,0.004981986
16932,-0.004798243
16933,-0.006892173
16934,0
16935,-0.000314433
16936,0.000973265
16937,-0.000299448
16938,-0.006636495
16939,-0.004162062
16940,0.001954995
16941,0
16942,-0.0003777
16943,-3.52E-05
16944,-0.007712802
16945,0.001470341
16946,0.003685997
16947,-0.007756885
16948,0
16949,-6.18E-05
16950,0.002513387
16951,-0.000760166
16952,0.005314276
16953,-0.003371499
16954,0.021461142
16955,0
16956,-0.000476505
16957,-0.000485134
16958,-6.45E-05
16959,0.004401469
16960,-0.008280043
16961,-0.006475389
16962,0
16963,-0.0001266
16964,0.003857593
16965,-0.008123753
16966,0.005541057
16967,-0.00307081
16968,0.004316809
16969,0
16970,0.002200229
16971,0.001777131
16972,-0.005944805
16973,0.007475818
16974,0.005425028
16975,-0.027412268
16976,0
16977,-0.002156435
16978,-0.00725026
16979,0.005695444
16980,0.005038844
16981,-0.002472163
16982,0.003832706
16983,0
16984,-0.00031007
16985,0.001427754
16986,-0.008267126
16987,0.003131952
16988,-0.003621635
16989,-0.000855904
16990,0
16991,-0.000366411
16992,0.001283501
16993,0.000183601
16994,0.003500031
16995,0.000986448
16996,-0.007221926
16997,0
16998,0.00175328
16999,0.001845907
17000,-0.005742638
17001,0.000495304
17002,0.001454492
17003,-0.00545876
17004,0
17005,-0.000714525
17006,0.00204967
17007,-0.000372139
17008,0.008528967
17009,0.001078049
17010,0.009191382
17011,0
17012,-0.000747953
17013,6.24E-06
17014,0.005016314
17015,-0.006388508
17016,-0.001983145
17017,-0.005117681
17018,0
17019,0.000422934
17020,-0.000499126
17021,0.003327777
17022,0.006963647
17023,-0.004726559
17024,0.002353291
17025,0
17026,0.000385283
17027,0.001616341
17028,0.009465022
17029,0.002293294
17030,0.004744763
17031,-0.001805615
17032,0
17033,-0.003324776
17034,0.002299785
17035,-0.001663739
17036,-0.003942637
17037,0.002539947
17038,-0.008981253
17039,0
17040,5.02E-06
17041,-0.000122933
17042,-0.004747329
17043,0.000874989
17044,0.004121998
17045,-0.004381029
17046,0
17047,0.000383607
17048,-0.000754508
17049,0.010177679
17050,-0.001275719
17051,0.002920188
17052,-0.004182928
17053,0
17054,0.001266532
17055,0.000127695
17056,-0.002396084
17057,0.003032465
17058,-0.000316383
17059,-0.00877832
17060,0
17061,0.000171906
17062,0.002001989
17063,-0.00262583
17064,0.003875084
17065,0.001752145
17066,0.002014947
17067,0
17068,0.000890136
17069,0.001138396
17070,-0.003156535
17071,0.000628629
17072,-0.000505226
17073,0.002267623
17074,0
17075,-0.001129277
17076,-0.00214115
17077,0.000248961
17078,-0.000251475
17079,-0.006866674
17080,0.006233457
17081,0
17082,-0.001120196
17083,-0.00536776
17084,-0.007761237
17085,-0.004874202
17086,0.003553921
17087,-0.007790974
17088,0
17089,-0.000235907
17090,0.004227952
17091,-0.003147485
17092,-0.000239886
17093,-0.004559513
17094,-0.004526537
17095,0
17096,-0.000350744
17097,-0.001067428
17098,0.00154383
17099,0.002373993
17100,-0.001189477
17101,0.008979978
17102,0
17103,-0.000234271
17104,-0.001327657
17105,0.008490007
17106,0.003812089
17107,0.000360965
17108,0.004828355
17109,0
17110,-0.004945417
17111,-0.004907846
17112,-0.00316489
17113,-0.009861693
17114,-0.002855967
17115,-0.003481539
17116,0
17117,-0.002888625
17118,-0.007917327
17119,-0.002424452
17120,-0.001852155
17121,-0.008173179
17122,-0.003492432
17123,0
17124,-0.000560424
17125,0.005632203
17126,-0.000670976
17127,-0.008865421
17128,0.001676227
17129,0.003349408
17130,0
17131,0.001688877
17132,0.001022458
17133,0.002739991
17134,-0.005557965
17135,0.007120929
17136,0.000105802
17137,0
17138,-0.007789878
17139,0.016858103
17140,-0.003345431
17141,0.003808509
17142,-0.013947958
17143,-0.0058375
17144,0
17145,-0.001439904
17146,0.00920589
17147,-0.001485983
17148,-0.011131186
17149,-0.009568831
17150,0.003376698
17151,0
17152,-0.000321181
17153,-0.004356777
17154,-0.001400635
17155,0.003682152
17156,0.000982104
17157,0.001523626
17158,0
17159,0.00033457
17160,-0.000113734
17161,0.000657593
17162,-0.00424823
17163,0.015539563
17164,-0.005459573
17165,0
17166,0.00144119
17167,-0.007580514
17168,-0.003943925
17169,0.007438429
17170,0.011466401
17171,-0.007713325
17172,0
17173,2.22E-06
17174,0.005799684
17175,-0.003575026
17176,0.004252955
17177,0.001916127
17178,0.002929718
17179,0
17180,-0.001347053
17181,-0.00293806
17182,0.009645806
17183,-0.00705584
17184,0.003293386
17185,0.004401664
17186,0
17187,0.000845433
17188,0.004728866
17189,-0.002995981
17190,0.002190484
17191,-0.006777793
17192,0.001477407
17193,0
17194,0.00172843
17195,-0.000805842
17196,0.009609494
17197,-0.003730837
17198,-0.000578373
17199,0.002318391
17200,0
17201,-0.000229149
17202,-0.003943026
17203,-0.006192387
17204,0.001366604
17205,-0.00364752
17206,-0.001704021
17207,0
17208,-0.002139867
17209,-0.002255986
17210,-0.001902903
17211,0.002437888
17212,0.006932496
17213,-0.005444968
17214,0
17215,0.001133361
17216,-0.001802758
17217,-0.006715681
17218,0.000439428
17219,0.003690012
17220,-0.002910379
17221,0
17222,2.23E-06
17223,0.002907029
17224,-0.001571178
17225,-0.003116187
17226,-0.003319788
17227,0.01171516
17228,0
17229,-0.00011172
17230,-0.004082464
17231,-0.000964307
17232,-0.002455386
17233,0.003346918
17234,0.009484016
17235,0
17236,0.001602558
17237,-0.003759088
17238,-0.003960387
17239,0.012545766
17240,0.003466982
17241,-0.002782533
17242,0
17243,-0.000222859
17244,-0.000583845
17245,0.007553283
17246,-0.001989158
17247,-0.00081037
17248,0.001508775
17249,0
17250,0.004930743
17251,0.001287228
17252,-0.004458047
17253,-0.005941486
17254,-0.007010156
17255,-0.002060797
17256,0
17257,0.000350697
17258,-2.28E-05
17259,0.000933619
17260,-0.00068413
17261,-0.002735714
17262,-0.004964814
17263,0
17264,-0.001338173
17265,0.001565089
17266,0.001125904
17267,0.006086829
17268,-0.005071355
17269,-0.000680954
17270,0
17271,-0.000108151
17272,0.003389025
17273,0.008344002
17274,-0.001377724
17275,-6.89E-06
17276,0.001147459
17277,0
17278,0.014707106
17279,-0.000832028
17280,0.006656222
17281,-0.002263102
17282,-0.004384853
17283,0.002950972
17284,0
17285,0.001314842
17286,0.000235723
17287,0.002624814
17288,-0.004765193
17289,0.009333326
17290,0.002048875
17291,0
17292,-0.003741431
17293,-0.003834337
17294,-0.003922659
17295,-0.00189525
17296,-0.000352042
17297,0.006527198
17298,0
17299,-0.000233013
17300,0.005278401
17301,0.011335145
17302,0.006190745
17303,-0.004463036
17304,0.009085078
17305,0
17306,0.000248623
17307,0.003534049
17308,-0.00603283
17309,0.005146283
17310,-0.002011631
17311,-0.003014605
17312,0
17313,-0.000493778
17314,-0.004602942
17315,0.004157041
17316,0.006858781
17317,-0.002524641
17318,0.006446246
17319,0
17320,-5.85E-05
17321,-0.002093351
17322,0.00136081
17323,-0.001490119
17324,-0.006796103
17325,0.000613979
17326,0
17327,0.000765284
17328,-0.000382773
17329,0.001127732
17330,0.000374738
17331,-0.006628883
17332,0.003992182
17333,0
17334,0.001756839
17335,-0.005741563
17336,-0.000994853
17337,0.00298366
17338,-0.001619478
17339,0.004241756
17340,0
17341,0.000630828
17342,-0.001655193
17343,0.01551101
17344,0.004508823
17345,0.005729908
17346,-0.000915847
17347,0
17348,-0.000777318
17349,-0.005195768
17350,-0.001168287
17351,-0.001290849
17352,0.007784167
17353,-0.00235086
17354,0
17355,0.000262753
17356,-0.000644959
17357,0.007719473
17358,-0.005505889
17359,-0.00156212
17360,0.006091445
17361,0
17362,0.001106986
17363,-0.000129105
17364,0.007424307
17365,-0.001999385
17366,0.010189885
17367,0.003254375
17368,0
17369,0.001908401
17370,-0.00427431
17371,0.000607537
17372,0.00847484
17373,-0.004257562
17374,0.00659284
17375,0
17376,-0.000542922
17377,0.007502765
17378,-0.000986539
17379,0.003787422
17380,0.003243537
17381,-0.010838649
17382,0
17383,0.000333026
17384,0.002224993
17385,-0.004578493
17386,0.000824524
17387,0.000692607
17388,0.005708884
17389,0
17390,-0.000135736
17391,-0.004871399
17392,-0.003603853
17393,0.003320834
17394,-0.006210038
17395,0.005235772
17396,0
17397,-0.00082195
17398,0.005558687
17399,-0.005302815
17400,0.005862833
17401,-0.001814986
17402,0.012803296
17403,0
17404,0.002576054
17405,0.001144668
17406,0.000570289
17407,-0.007971696
17408,0.001980827
17409,-0.005143802
17410,0
17411,0.002309203
17412,0.001415611
17413,0.002835673
17414,0.000286019
17415,0.010197695
17416,0.000715617
17417,0
17418,-0.001871264
17419,-0.005899642
17420,0.001284831
17421,-0.008419059
17422,0.003424187
17423,0.00241797
17424,0
17425,-0.000854604
17426,0.002289775
17427,0.003300774
17428,-0.012107291
17429,0.007515564
17430,0.00042715
17431,0
17432,-0.002418857
17433,-0.007075841
17434,-0.007132772
17435,-0.003593701
17436,0.003179738
17437,0.003477693
17438,0
17439,-0.000827757
17440,-0.007340108
17441,0.001388903
17442,0.001228887
17443,-0.004823338
17444,0.001775888
17445,0
17446,0.001245777
17447,-0.000140696
17448,0.00736255
17449,0.005040616
17450,-0.003503809
17451,-0.000847905
17452,0
17453,-0.000698677
17454,-0.001947735
17455,-0.002354611
17456,0.002489644
17457,0.005176713
17458,-0.006289461
17459,0
17460,-0.00304235
17461,-4.15E-06
17462,0.000417648
17463,0.006127154
17464,-0.018309434
17465,-0.002711644
17466,0
17467,-0.000396358
17468,0.004741618
17469,-0.000163025
17470,-0.002285684
17471,0.002982934
17472,-0.004793167
17473,0
17474,0.000322457
17475,-0.000126845
17476,-0.001087843
17477,-0.000935234
17478,0.005399297
17479,0.002033807
17480,0
17481,-0.00053633
17482,0.000360675
17483,0.012704476
17484,-0.000968918
17485,-0.000416548
17486,0.001243574
17487,0
17488,-0.005942577
17489,0.00055104
17490,0.000132327
17491,0.00763274
17492,0.003640786
17493,0.008203481
17494,0
17495,-0.000561057
17496,-0.002275831
17497,-0.00564194
17498,0.000422907
17499,0.004507668
17500,0.000138805
17501,0
17502,-0.004088224
17503,0.001127943
17504,-0.003778105
17505,-0.002671808
17506,-0.0032036
17507,-0.000138652
17508,0
17509,-0.000270277
17510,0.000970801
17511,-0.003604684
17512,0.00946048
17513,-0.005995968
17514,-0.002774346
17515,0
17516,-0.000542539
17517,0.004013909
17518,0.005440547
17519,0.004083129
17520,-0.002261717
17521,0.000702253
17522,0
17523,-0.001264581
17524,0.002112895
17525,-0.001402867
17526,0.004237
17527,0.003974899
17528,0.005872635
17529,0
17530,-0.000279382
17531,0.001588735
17532,0.00521805
17533,-0.005220938
17534,0.005808055
17535,-0.004081938
17536,0
17537,0.000872169
17538,-0.006768711
17539,-0.004021974
17540,0.002587247
17541,0.008639996
17542,0.016020594
17543,0
17544,-0.000884263
17545,0.007477514
17546,0.000307276
17547,-0.008676685
17548,0.005254151
17549,-0.001388789
17550,0
17551,0.00330654
17552,0
17553,0.005882032
17554,0.00764014
17555,0.00031348
17556,0.003222332
17557,0
17558,0.00015607
17559,-0.004761742
17560,0.002914597
17561,0.000775533
17562,0.009318344
17563,-0.004994364
17564,0
17565,-0.001395068
17566,-0.00800848
17567,0.001383303
17568,-0.01109957
17569,-0.000901576
17570,-0.000604322
17571,0
17572,1.05E-05
17573,0.004821113
17574,0.005167596
17575,0.01140374
17576,0.003595711
17577,-0.009016219
17578,0
17579,-0.000151096
17580,-0.001693458
17581,-0.005967036
17582,-0.00546332
17583,0.004507839
17584,-0.003296273
17585,0
17586,-0.00075109
17587,0.003031128
17588,-0.008748172
17589,-0.003248805
17590,0.007458886
17591,0.004530503
17592,0
17593,6.07E-06
17594,0.001977802
17595,0.00796741
17596,-0.000306859
17597,-0.010545318
17598,-9.09E-06
17599,0
17600,0.000162182
17601,0.003028667
17602,0.005358073
17603,-0.001678814
17604,-0.006865562
17605,-0.001118963
17606,0
17607,-0.001596934
17608,0.005600642
17609,-0.008768591
17610,0.009994015
17611,-0.002288836
17612,0.00334856
17613,0
17614,-0.000450681
17615,0.0103113
17616,-0.004795059
17617,-0.009826123
17618,-0.00085928
17619,0.00211474
17620,0
17621,-0.001058278
17622,-0.00196596
17623,-0.001505807
17624,0.000745646
17625,-0.003315249
17626,0.003161215
17627,0
17628,-0.001348407
17629,0.005294438
17630,0.00396228
17631,0.000763662
17632,-0.00411778
17633,0.000296697
17634,0
17635,7.61E-06
17636,0.005038217
17637,-0.001037893
17638,0.000577755
17639,-0.003359351
17640,-0.006077227
17641,0
17642,-0.000900775
17643,-0.006595377
17644,0.002984461
17645,-0.006697603
17646,-0.006348969
17647,0.001905822
17648,0
17649,-0.000731004
17650,-0.003952986
17651,-0.008992759
17652,-0.003866295
17653,0.003725317
17654,-0.002731014
17655,0
17656,-0.00056388
17657,-0.001862458
17658,-0.007083657
17659,-0.002115619
17660,0.006896391
17661,0.003013476
17662,0
17663,0.000579943
17664,-0.001853555
17665,-0.011011527
17666,-0.000698852
17667,-0.002374106
17668,-0.002226001
17669,0
17670,-0.000270213
17671,0.002359885
17672,-0.000275344
17673,-0.007878671
17674,0.001374767
17675,-0.006023055
17676,0
17677,0.002599688
17678,-0.006254512
17679,-0.008729998
17680,0.012651623
17681,0.002739024
17682,-0.003005825
17683,0
17684,0.00055007
17685,0.003283944
17686,0.002464106
17687,0.00567159
17688,0.001105281
17689,-0.002639501
17690,0
17691,0.001392561
17692,-0.000589882
17693,-0.00275558
17694,0.005713701
17695,-0.023775409
17696,0.003486975
17697,0
17698,-0.000802102
17699,0.003646639
17700,-0.003918241
17701,-0.001201856
17702,0.002683766
17703,0.004547321
17704,0
17705,0.001000542
17706,0.003960501
17707,-0.005041175
17708,-0.008624687
17709,-0.00013379
17710,0.012430032
17711,0
17712,-0.000673371
17713,-0.0038206
17714,0.001496412
17715,0.00041348
17716,0.003144673
17717,0.006312833
17718,0
17719,-0.000410539
17720,0.000420218
17721,-0.00290634
17722,-0.005194551
17723,-0.001091387
17724,0.00217252
17725,0
17726,-0.000809673
17727,0.003286603
17728,-0.00573744
17729,-0.000821446
17730,0.001097331
17731,0.007373299
17732,0
17733,1.38E-06
17734,-0.0035601
17735,-0.000961105
17736,0.005350512
17737,-0.009434266
17738,0.00067321
17739,0
17740,0.000650876
17741,0.004716353
17742,-0.001799571
17743,-0.002610796
17744,-0.007863538
17745,-0.000201267
17746,0
17747,-0.002028884
17748,-0.00029136
17749,0.0043428
17750,0.000740903
17751,-0.008603137
17752,-0.010162169
17753,0
17754,-0.002785325
17755,0.000597568
17756,-0.005376255
17757,-0.00042086
17758,0.003137563
17759,0.007449648
17760,0
17761,-0.001060673
17762,0.005102635
17763,0.008533083
17764,0.001351933
17765,-0.004624766
17766,0.009095919
17767,0
17768,0.001605698
17769,0.003470378
17770,0.000764893
17771,0.001848063
17772,-0.004507212
17773,-0.004283595
17774,0
17775,-0.002197299
17776,0.001562868
17777,-0.002893373
17778,0.004866428
17779,-0.001514174
17780,-0.004820322
17781,0
17782,-0.001076894
17783,0.003371129
17784,0.000127724
17785,0.003084661
17786,0.006479836
17787,-0.005685801
17788,0
17789,-0.000703459
17790,0.004131431
17791,0.001076666
17792,-0.000531767
17793,0.010131631
17794,-0.000609807
17795,0
17796,-0.001991324
17797,0.000289982
17798,0.001036818
17799,-0.001475877
17800,-0.011103819
17801,-0.001555257
17802,0
17803,-0.001658854
17804,-0.002774363
17805,-0.002574351
17806,-0.007549466
17807,0.004176762
17808,0.001680561
17809,0
17810,-0.001222712
17811,-0.002847341
17812,0.001170339
17813,0.002746733
17814,0.005714317
17815,-0.001462355
17816,0
17817,-0.002446866
17818,0.003211123
17819,-0.000817851
17820,-0.007441297
17821,-0.004321898
17822,0.007318814
17823,0
17824,-0.002143191
17825,-0.004378259
17826,0.000747138
17827,-0.007382374
17828,-0.002366404
17829,0.004918846
17830,0
17831,-0.00261091
17832,-0.002249704
17833,-0.002981537
17834,-0.002965949
17835,0.0086586
17836,-0.001441482
17837,0
17838,0.000869647
17839,0.001301756
17840,0.002772041
17841,-0.000425031
17842,-0.006563977
17843,-0.003061032
17844,0
17845,-0.001399341
17846,-0.00925946
17847,0.007985093
17848,7.68E-05
17849,0.001300189
17850,0.009602911
17851,0
17852,-0.000690855
17853,0.004092104
17854,-0.008252075
17855,0.001599388
17856,0.001467354
17857,-0.006020551
17858,0
17859,-0.000565788
17860,-0.000379019
17861,-0.003470013
17862,0.00697433
17863,0.002428305
17864,-0.007484593
17865,0
17866,0.002432456
17867,0.001255606
17868,-0.001184851
17869,0.000598556
17870,0.002588119
17871,0.000802707
17872,0
17873,0.001797244
17874,-0.004434151
17875,-0.003343108
17876,0.005047945
17877,-0.00099511
17878,-0.005371783
17879,0
17880,-0.000402754
17881,0.004407491
17882,0.002549742
17883,0.001190347
17884,0.006947926
17885,-0.00729013
17886,0
17887,-0.001100398
17888,0.002995473
17889,0.001050193
17890,-0.005195571
17891,0.006960651
17892,0.000784489
17893,0
17894,0.000117766
17895,0.005192626
17896,-0.003029272
17897,-0.014372208
17898,0.007302922
17899,0.000499737
17900,0
17901,0.001456276
17902,0.006928918
17903,-0.002367092
17904,0.009874438
17905,-0.004747911
17906,-0.003746911
17907,0
17908,-0.000972646
17909,0.001275291
17910,-0.005831233
17911,-0.001654823
17912,-0.000559627
17913,-0.001961486
17914,0
17915,-0.000730265
17916,0.000368247
17917,-0.000529683
17918,0.002204657
17919,-0.00746679
17920,0.008954317
17921,0
17922,0.00122304
17923,0.001578208
17924,0.000640351
17925,0.005007604
17926,-0.003816475
17927,0.001062326
17928,0
17929,-0.000262486
17930,-0.001899432
17931,-0.002635629
17932,-0.004383045
17933,-0.002725557
17934,-0.000289184
17935,0
17936,-0.001161673
17937,-0.004521222
17938,0.005554417
17939,-0.006964662
17940,0.003040865
17941,0.000153112
17942,0
17943,0
17944,0.001514216
17945,0.002885008
17946,0.000541693
17947,-0.000545551
17948,0.000108039
17949,0
17950,2.57E-05
17951,0.002316314
17952,0.002787683
17953,-0.001296489
